Detector;Time;qPKW;vPKW
302:11Din;0;3;49
302:13Din;0;4;50
302:15Din;0;4;47
302:17Din;0;2;48
302:19Din;0;0;47
302:21Din;0;9;49
302:22Din;0;7;50
302:24Din;0;3;48
302:25Din;0;2;47
302:27Din;0;14;51
302:29Din;0;1;47
302:3Din;0;1;47
302:5Din;0;5;50
302:7Din;0;12;48
302:9Din;0;6;49
306:11Din;0;5;49
306:13Din;0;3;49
306:15Din;0;1;49
306:17Din;0;3;50
306:19Din;0;0;51
306:1Din;0;26;49
306:21Din;0;3;49
306:23Din;0;14;50
306:25Din;0;11;49
306:27Din;0;2;47
306:29Din;0;5;49
306:3Din;0;16;49
306:5Din;0;14;50
306:7Din;0;5;49
306:9Din;0;3;47
402:10Din;0;11;49
402:12Din;0;4;50
402:14Din;0;2;48
402:16Din;0;6;51
402:18Din;0;0;49
402:1Din;0;22;51
402:3Din;0;8;47
402:5Din;0;9;48
402:8Din;0;0;49
404:11Din;0;5;49
404:13Din;0;14;51
404:15Din;0;10;50
404:1Din;0;10;51
404:20Din;0;1;48
404:21Din;0;8;50
404:23Din;0;5;48
404:3Din;0;14;50
404:5Din;0;2;50
404:8Din;0;17;48
404:9Din;0;7;49
502:11Din;0;21;49
502:13Din;0;6;48
502:15Din;0;46;48
502:17Din;0;12;51
502:19Din;0;0;51
502:1Din;0;1;51
502:21Din;0;5;50
502:23Din;0;5;47
502:3Din;0;8;49
502:5Din;0;2;49
502:7Din;0;14;51
502:9Din;0;4;49
601:11Din;0;9;47
601:13Din;0;8;50
601:15Din;0;0;49
601:17Din;0;1;51
601:1Din;0;3;50
601:7Din;0;4;49
302:11Din;60;2;48
302:13Din;60;2;51
302:15Din;60;1;48
302:17Din;60;4;48
302:19Din;60;1;47
302:21Din;60;8;46
302:22Din;60;1;49
302:24Din;60;1;47
302:25Din;60;2;50
302:27Din;60;9;50
302:29Din;60;3;49
302:3Din;60;1;49
302:5Din;60;3;49
302:7Din;60;3;52
302:9Din;60;3;51
306:11Din;60;5;48
306:13Din;60;3;50
306:15Din;60;1;51
306:17Din;60;2;49
306:19Din;60;0;50
306:1Din;60;15;50
306:21Din;60;3;50
306:23Din;60;7;48
306:25Din;60;6;49
306:27Din;60;2;49
306:29Din;60;3;50
306:3Din;60;8;47
306:5Din;60;7;49
306:7Din;60;3;50
306:9Din;60;2;48
402:10Din;60;4;47
402:12Din;60;1;49
402:14Din;60;1;49
402:16Din;60;3;50
402:18Din;60;0;49
402:1Din;60;17;50
402:3Din;60;5;48
402:5Din;60;4;51
402:8Din;60;1;45
404:11Din;60;4;48
404:13Din;60;12;50
404:15Din;60;8;48
404:1Din;60;8;49
404:20Din;60;1;49
404:21Din;60;5;49
404:23Din;60;3;48
404:3Din;60;7;47
404:5Din;60;2;49
404:8Din;60;9;50
404:9Din;60;6;50
502:11Din;60;12;45
502:13Din;60;4;52
502:15Din;60;15;52
502:17Din;60;5;50
502:19Din;60;0;48
502:1Din;60;2;45
502:21Din;60;4;52
502:23Din;60;3;51
502:3Din;60;6;50
502:5Din;60;2;49
502:7Din;60;4;49
502:9Din;60;3;48
601:11Din;60;5;50
601:13Din;60;2;51
601:15Din;60;0;53
601:17Din;60;1;49
601:1Din;60;4;50
601:5Din;60;0;48
601:7Din;60;1;48
302:11Din;120;1;46
302:13Din;120;1;47
302:15Din;120;1;50
302:17Din;120;1;48
302:19Din;120;4;52
302:21Din;120;3;49
302:22Din;120;0;51
302:24Din;120;0;50
302:25Din;120;2;49
302:27Din;120;10;48
302:29Din;120;2;50
302:3Din;120;0;48
302:5Din;120;5;49
302:7Din;120;3;51
302:9Din;120;3;49
306:11Din;120;2;50
306:13Din;120;1;49
306:15Din;120;0;49
306:17Din;120;1;50
306:19Din;120;0;47
306:1Din;120;7;50
306:21Din;120;0;49
306:23Din;120;3;48
306:25Din;120;4;49
306:27Din;120;2;48
306:29Din;120;2;48
306:3Din;120;5;48
306:5Din;120;5;49
306:7Din;120;2;50
306:9Din;120;0;48
402:10Din;120;0;49
402:12Din;120;0;49
402:14Din;120;1;49
402:16Din;120;2;52
402:18Din;120;0;48
402:1Din;120;7;51
402:3Din;120;2;48
402:5Din;120;2;50
402:8Din;120;0;49
404:11Din;120;2;51
404:13Din;120;5;50
404:15Din;120;5;48
404:17Din;120;0;50
404:1Din;120;2;51
404:20Din;120;0;51
404:21Din;120;2;48
404:23Din;120;1;47
404:3Din;120;5;48
404:5Din;120;1;50
404:8Din;120;4;51
404:9Din;120;4;48
502:11Din;120;5;48
502:13Din;120;1;49
502:15Din;120;5;49
502:17Din;120;3;50
502:19Din;120;0;50
502:1Din;120;1;48
502:21Din;120;0;53
502:23Din;120;1;53
502:3Din;120;5;48
502:5Din;120;1;51
502:7Din;120;3;51
502:9Din;120;3;47
601:11Din;120;3;49
601:13Din;120;4;48
601:15Din;120;1;53
601:17Din;120;1;52
601:1Din;120;4;47
601:7Din;120;2;49
302:11Din;180;1;53
302:13Din;180;0;48
302:15Din;180;1;49
302:17Din;180;1;48
302:1Din;180;0;52
302:21Din;180;2;49
302:22Din;180;1;47
302:24Din;180;3;45
302:25Din;180;0;52
302:27Din;180;6;49
302:29Din;180;2;49
302:3Din;180;1;48
302:5Din;180;1;49
302:7Din;180;0;51
302:9Din;180;0;51
306:11Din;180;1;49
306:13Din;180;0;47
306:15Din;180;1;51
306:17Din;180;1;49
306:19Din;180;0;47
306:1Din;180;3;49
306:21Din;180;0;47
306:23Din;180;2;50
306:25Din;180;1;49
306:27Din;180;0;49
306:29Din;180;1;48
306:3Din;180;5;48
306:5Din;180;2;49
306:7Din;180;1;51
306:9Din;180;0;49
402:10Din;180;0;46
402:12Din;180;0;49
402:14Din;180;2;50
402:16Din;180;0;49
402:18Din;180;0;54
402:1Din;180;4;47
402:3Din;180;3;51
402:5Din;180;4;49
402:8Din;180;0;49
404:11Din;180;2;50
404:13Din;180;5;49
404:15Din;180;2;49
404:1Din;180;1;47
404:20Din;180;0;50
404:21Din;180;1;48
404:23Din;180;1;50
404:3Din;180;3;48
404:5Din;180;0;50
404:8Din;180;1;48
404:9Din;180;2;48
502:11Din;180;3;51
502:13Din;180;0;48
502:15Din;180;4;54
502:17Din;180;1;51
502:19Din;180;0;46
502:1Din;180;0;49
502:21Din;180;0;51
502:23Din;180;1;48
502:3Din;180;2;50
502:5Din;180;1;46
502:7Din;180;1;51
502:9Din;180;0;50
601:11Din;180;0;46
601:13Din;180;1;49
601:15Din;180;0;45
601:17Din;180;0;51
601:1Din;180;1;52
601:7Din;180;1;48
302:11Din;240;1;51
302:13Din;240;1;52
302:15Din;240;1;47
302:17Din;240;0;50
302:19Din;240;0;50
302:1Din;240;1;52
302:21Din;240;7;47
302:22Din;240;4;49
302:24Din;240;1;48
302:25Din;240;1;50
302:27Din;240;3;52
302:29Din;240;1;49
302:3Din;240;0;49
302:5Din;240;0;49
302:7Din;240;1;48
302:9Din;240;1;47
306:11Din;240;0;50
306:13Din;240;1;49
306:15Din;240;0;48
306:17Din;240;0;51
306:19Din;240;0;51
306:1Din;240;1;50
306:21Din;240;0;48
306:23Din;240;2;50
306:25Din;240;1;49
306:27Din;240;1;50
306:29Din;240;0;49
306:3Din;240;3;49
306:5Din;240;2;49
306:7Din;240;1;49
306:9Din;240;0;50
402:10Din;240;0;51
402:12Din;240;0;48
402:14Din;240;0;48
402:16Din;240;1;49
402:18Din;240;0;48
402:1Din;240;1;53
402:3Din;240;1;50
402:5Din;240;1;51
402:8Din;240;0;50
404:11Din;240;1;50
404:13Din;240;2;48
404:15Din;240;2;50
404:1Din;240;1;49
404:20Din;240;0;48
404:21Din;240;1;49
404:23Din;240;0;48
404:3Din;240;3;48
404:5Din;240;1;48
404:8Din;240;1;49
404:9Din;240;1;51
502:11Din;240;2;49
502:13Din;240;2;47
502:15Din;240;3;49
502:17Din;240;4;50
502:19Din;240;0;52
502:1Din;240;2;53
502:21Din;240;0;51
502:23Din;240;1;46
502:3Din;240;0;48
502:5Din;240;0;52
502:7Din;240;2;49
502:9Din;240;1;50
601:11Din;240;0;51
601:13Din;240;1;48
601:17Din;240;1;49
601:1Din;240;1;49
601:5Din;240;0;54
601:7Din;240;1;49
302:11Din;300;1;45
302:13Din;300;1;48
302:15Din;300;3;49
302:17Din;300;2;49
302:19Din;300;0;51
302:21Din;300;5;50
302:22Din;300;3;48
302:24Din;300;2;46
302:25Din;300;1;51
302:27Din;300;4;45
302:29Din;300;1;47
302:3Din;300;0;51
302:5Din;300;1;50
302:7Din;300;1;48
302:9Din;300;2;45
306:11Din;300;1;49
306:13Din;300;2;49
306:15Din;300;0;50
306:17Din;300;1;48
306:19Din;300;0;48
306:1Din;300;3;50
306:21Din;300;1;49
306:23Din;300;2;48
306:25Din;300;3;49
306:27Din;300;2;50
306:29Din;300;1;48
306:3Din;300;5;50
306:5Din;300;6;48
306:7Din;300;2;48
306:9Din;300;0;49
402:10Din;300;1;52
402:12Din;300;0;51
402:14Din;300;0;48
402:16Din;300;0;49
